,sample_id,grn_n,grn_mean,grn_sd,red_n,red_mean,red_sd
52,10600510,15,594,256,15,16980,2224
55,10601311,11,10249,830,11,4047,962
62,10601338,11,1157,244,11,14420,2129
70,10601373,7,1757,611,7,30202,5192
80,10601439,13,1438,442,13,27013,2146
86,10601465,9,2408,397,9,29066,1284
101,10602332,19,4709,581,19,1281,473
102,10602336,20,383,199,20,943,582
103,10602345,11,8965,876,11,2799,990
113,10602420,23,462,341,23,2011,822
118,10602429,14,12211,1814,14,2597,615
127,10602478,19,250,184,19,827,500
142,10603347,17,774,216,17,19652,1612
147,10603374,10,703,233,10,18180,1929
171,10603471,14,8386,1210,14,24444,2350
183,10603504,10,13353,1454,10,14120,1141
184,10603505,12,13609,1273,12,2979,604
234,10605324,16,10948,870,16,3190,1004
250,10605381,9,2036,577,9,25113,1911
265,10605480,10,362,212,10,719,762
275,10606324,16,1523,472,16,23053,2217
284,10606362,8,14747,659,8,1871,735
285,10606363,10,4175,308,10,515,280
297,10606450,12,3011,730,12,27152,2136
303,10606459,6,259,139,6,536,494
310,10607300,4,13886,1699,4,2412,184
312,10607317,10,19019,2445,10,2899,1038
313,10607318,12,5403,694,12,3204,1247
317,10607335,19,249,213,19,1181,772
319,10607340,11,538,279,11,4714,421
322,10607344,6,3754,945,6,2904,1287
342,10607438,8,4462,741,8,776,509
354,10608302,6,726,112,6,12791,1210
384,10608450,14,1201,386,14,24560,2677
395,10608480,6,415,83,6,7314,1731
419,10609419,8,1206,354,8,2943,221
430,10609464,15,14382,1372,15,2452,650
446,10610322,12,8993,783,12,3564,750
449,10610331,6,629,408,6,6491,1952
458,10610378,5,812,525,5,23240,506
508,10611402,8,4208,697,8,593,293
529,10611468,17,260,166,17,9459,1303
531,10611473,11,6312,770,11,1809,767
532,10611478,13,12662,1199,13,16044,2422
534,10611483,9,206,195,9,2216,264
545,10612352,19,7435,1119,19,1351,957
547,10612364,8,375,270,8,2179,298
577,10612491,13,13665,1076,13,1891,543
584,10613304,10,4478,647,10,1388,779
595,10613339,7,8985,1197,7,10390,963
599,10613344,16,4671,699,16,930,489
614,10613459,9,2591,598,9,22072,1114
618,10613467,13,672,299,13,10080,1226
621,10613487,16,299,209,16,1062,406
627,10614303,10,4423,483,10,6461,1158
629,10614306,9,1058,549,9,6599,1653
641,10614354,8,11791,1200,8,2627,200
664,10614480,18,8619,904,18,10205,786
671,10615310,9,20147,1450,9,10804,664
673,10615314,14,17040,1256,14,1903,473
679,10615327,13,8930,1154,13,1736,671
684,10615343,16,11386,2001,16,11575,2360
704,10615439,10,15056,2285,10,1789,858
713,10615470,12,580,274,12,1747,465
714,10615485,15,1657,357,15,27355,2761
733,10616409,12,4210,601,12,960,467
734,10616411,12,6745,697,12,1577,364
747,10616434,16,11463,560,16,2398,621
766,10616510,11,16297,1719,11,3122,1014
770,10617308,11,549,266,11,7417,1159
788,10617386,14,1102,294,14,14788,2128
838,10618391,13,4385,744,13,23529,2129
845,10618449,16,169,136,16,681,454
850,10618467,7,12081,302,7,1957,768
855,10618500,8,235,179,8,1221,594
859,10619316,6,14245,1629,6,4848,841
874,10619411,8,9323,878,8,887,287
881,10619425,14,1639,421,14,24930,2268
933,10620454,14,2249,570,14,35488,2044
938,10620486,10,3482,380,10,529,287
953,10621337,4,1464,131,4,6268,1888
962,10621377,14,248,135,14,583,441
965,10621382,16,1533,458,16,17285,1650
971,10621397,11,5213,961,11,732,485
986,10622300,13,675,189,13,5476,1394
1015,10622384,16,6366,574,16,712,420
1031,10622467,10,1231,483,10,19652,3612
1065,10623386,18,517,291,18,7014,1067
1080,10623472,7,214,215,7,657,566
1086,10624304,14,6403,857,14,3265,865
1107,10624372,18,1780,499,18,1838,700
1145,10625339,15,8598,1545,15,1684,747
1159,10625389,9,719,389,9,6472,1738
1164,10625399,5,3130,859,5,739,356
1168,10625458,13,8966,1005,13,3780,1289
1176,10625507,19,856,326,19,27837,2184
1180,10626312,9,5001,656,9,1783,586
1194,10626363,14,333,162,14,2202,732
1197,10626376,14,5179,696,14,3578,749
1198,10626380,15,3197,454,15,28522,2096
1284,10628440,12,4992,617,12,11274,2351
1296,10628493,11,14866,1513,11,18198,1380
1309,10629332,11,387,302,11,1053,357
1311,10629345,16,3486,705,16,17159,2632
1313,10629365,17,9999,1031,17,1704,695
1318,10629406,13,1446,380,13,1075,660
1322,10629416,4,1712,689,4,23398,1550
1327,10629423,7,3391,270,7,10389,1353
1337,10629448,12,13227,1868,12,1540,786
1343,10629479,15,20681,1817,15,2471,1067
1348,10629498,17,564,272,17,1470,832
1354,10630303,11,422,235,11,4171,862
1359,10630318,17,9132,803,17,1239,659
1361,10630324,12,476,197,12,1726,675
1365,10630334,18,2446,380,18,27795,2606
1377,10630382,7,14892,900,7,3190,496
1383,10630394,21,12101,1003,21,1697,759
1395,10630463,7,14655,1347,7,4379,838
1410,10631331,7,219,123,7,8139,894
1418,10631406,10,7060,1221,10,1767,789
1449,10631508,14,408,128,14,2270,531
1451,10632309,11,10316,1100,11,1381,526
1455,10632328,19,1017,320,19,13452,1374
1469,10632419,13,2481,520,13,2193,465
1471,10632421,17,2488,521,17,23407,2559
1524,10633396,14,268,156,14,886,451
1565,10634362,8,15210,1145,8,4760,348
1568,10634382,8,18769,1158,8,5027,1026
1571,10634390,14,1268,420,14,23601,2114
1593,10634509,15,1848,540,15,12852,1575
1598,10635310,17,7581,1074,17,2275,424
1603,10635333,9,11313,1005,9,8089,782
1604,10635334,14,11028,1133,14,2506,716
1605,10635339,10,7891,833,10,23040,2055
1612,10635372,9,20094,1739,9,2319,804
1614,10635376,9,1592,503,9,1926,327
1616,10635381,12,1550,410,12,630,466
1619,10635387,20,1213,494,20,20793,3289
1624,10635398,17,583,333,17,10736,2200
1637,10635462,16,11454,915,16,3720,915
1643,10635485,13,869,412,13,19204,2634
1662,10636344,15,15160,2376,15,16218,3147
1688,10636460,9,14787,914,9,2564,353
1692,10636469,15,2337,385,15,26098,2851
1722,10637393,14,942,289,14,2750,526
1723,10637394,12,259,214,12,358,218
1729,10637459,17,2353,402,17,1949,398
1734,10637472,14,10144,885,14,1258,686
1747,10638331,11,13178,627,11,1400,734
1770,10638436,10,1157,314,10,12168,2061
1808,10639391,19,1123,396,19,4587,1047
1824,10639470,12,16766,928,12,10665,1074
1842,10640319,12,1635,543,12,22828,1107
1846,10640335,9,1519,427,9,19963,996
1859,10640375,16,490,244,16,1119,631
1882,10640485,21,7645,1545,21,2068,756
1889,10641320,13,12020,851,13,4300,701
1902,10641376,16,544,317,16,4686,1352
1903,10641377,13,444,271,13,2379,667
1932,10642317,11,5225,586,11,1092,599
1965,10642509,9,3137,884,9,704,438
1968,10643460,5,2238,61,5,9978,1445
1969,10643465,11,6583,829,11,1128,629
1970,10643503,8,215,145,8,1112,702
1977,10644318,14,697,247,14,3004,788
1978,10644319,11,13234,1391,11,2858,861
1989,10644348,13,477,271,13,7815,1075
1999,10644391,9,301,166,9,4208,813
2015,10644495,10,4194,762,10,15842,1596
2017,10645310,11,15912,989,11,7227,1274
2023,10645335,10,765,112,10,19986,768
2025,10645341,21,14587,1492,21,4912,986
2043,10645444,9,6469,899,9,1345,312
2049,10645485,13,18032,1382,13,3336,766
2066,10646348,7,666,436,7,4981,590
2076,10646384,16,1861,522,16,30146,2922
2078,10646387,22,11907,1134,22,5244,999
2086,10646438,11,1916,494,11,15468,1505
2098,10646492,10,475,158,10,505,262
2121,10647377,12,13404,1322,12,2492,841
2131,10647394,5,1650,486,5,19650,1706
2133,10647437,12,329,193,12,6798,1151
2136,10647460,8,8274,459,8,3583,1175
2166,10648356,13,1140,294,13,21873,2819
2174,10648381,18,1113,360,18,18319,1994
2186,10648450,25,287,143,25,735,337
2188,10648456,15,9728,857,15,10344,1471
2192,10648472,11,822,189,11,22033,2095
2196,10648495,18,1268,252,18,24307,2356
2203,10649310,11,19763,1629,11,8770,1968
2223,10649382,14,343,192,14,864,600
2226,10649389,17,1334,360,17,4216,899
2227,10649394,15,13756,1095,15,1634,695
2229,10649398,12,110,104,12,449,303
2240,10649485,7,5687,232,7,808,448
2245,10650306,11,665,162,11,11981,345
2248,10650319,15,9170,835,15,1521,542
2249,10650324,14,1161,388,14,10755,1051
2259,10650359,9,1996,392,9,14461,1532
2272,10650394,12,7870,1520,12,1687,256
2283,10650462,14,573,251,14,5457,1094
2286,10650492,7,9418,1331,7,680,506
2289,10650509,10,2601,513,10,33019,1844
2291,10651313,15,3754,570,15,1768,684
2302,10651400,11,417,246,11,998,365
2312,10651423,21,561,273,21,868,314
2313,10651424,11,368,119,11,5742,1587
2316,10651430,17,8417,1021,17,2510,910
2317,10651431,16,777,365,16,642,443
2319,10651434,13,2197,568,13,26489,2703
2335,10651491,16,19865,1464,16,9288,1118
2352,10652374,9,1603,212,9,20978,1952
2356,10652405,19,1469,404,19,25835,1878
2358,10652408,5,305,238,5,1169,178
2376,10652457,6,977,132,6,23919,1832
2378,10652476,10,515,153,10,15323,1266
2379,10652477,7,19709,1827,7,9269,745
2403,10653337,12,16440,1299,12,1281,630
2413,10653384,20,13233,1198,20,2024,710
2432,10653485,15,14300,1277,15,665,429
2438,10654330,11,13618,773,11,6729,1216
2439,10654332,14,753,199,14,2436,782
2440,10654345,30,9012,907,30,12243,1438
2464,10654435,13,9900,850,13,2059,591
